line,line_name,bpuic,sloid
740,Rapperswil - Uster - Wallisellen Ost,8503124,ch:1:sloid:3124
451,Aarburg-Oftringen - Rothrist Gleis 1,8508141,ch:1:sloid:8141
131,Les Paluds - St-Gingolph (Frontiere),8501435,ch:1:sloid:1435
600,Immensee - Bellinzona - Chiasso,8505113,ch:1:sloid:5113
9296,Gumligen Sud - Allmendingen BE,8510284,ch:1:sloid:10284
290,Bern Wylerfeld - Thun,8515527,ch:1:sloid:15527
824,Romanshorn - Konstanz,8506125,ch:1:sloid:6125
762,Winterthur Nord - Schaffhausen RB Ost,8506047,ch:1:sloid:6047
600,Immensee - Bellinzona - Chiasso,8505202,ch:1:sloid:5202
415,Wanzwil (Abzw) - Solothurn - Busswil,8500223,ch:1:sloid:223
150,Lausanne - Geneve-Aeroport,8501147,ch:1:sloid:1147
5002,Amsteg Kabelstollen,8518491,ch:1:sloid:18491
5001,Amsteg Zugangsstollen,8518488,ch:1:sloid:18488
200,Renens VD Ouest - Vallorbe,8501107,ch:1:sloid:1107
100,Lausanne - Simplon Tunnel I - Iselle,8515515,ch:1:sloid:15515
752,Zurich Oerlikon Nord - Hurlistein (Abzw),8519645,ch:1:sloid:19645
9784,Bassersdorf - Baltenswil (Abzw),8519645,ch:1:sloid:19645
210,Daillens - Biel/Bienne,8504208,ch:1:sloid:4208
410,Olten - Solothurn - Biel/Bienne,8500203,ch:1:sloid:203
210,Daillens - Biel/Bienne,8504300,ch:1:sloid:4300
410,Olten - Solothurn - Biel/Bienne,8504300,ch:1:sloid:4300
410,Olten - Solothurn - Biel/Bienne,8515304,ch:1:sloid:15304
410,Olten - Solothurn - Biel/Bienne,8504419,ch:1:sloid:4419
265,Biel Mett Abzweigung - Biel/Bienne Ost,8504340,ch:1:sloid:4340
265,Biel Mett Abzweigung - Biel/Bienne Ost,8504341,ch:1:sloid:4341
651,Hubeli - Beinwil - Lenzburg,8502023,ch:1:sloid:2023
742,Hinwil - Baretswil - Bauma,8503134,ch:1:sloid:3134
9220,Bern Henkerbrunnli - Bern Bumpliz Nord,8507000,ch:1:sloid:7000
250,Lausanne Est - Bern,8504108,ch:1:sloid:4108
9250,Bern Bumpliz Sud - Bern,8504106,ch:1:sloid:4106
219,Auvernier - Les Verrieres frontiere,8504218,ch:1:sloid:4218
250,Lausanne Est - Bern,8504003,ch:1:sloid:4003
131,Les Paluds - St-Gingolph (Frontiere),8501426,ch:1:sloid:1426
219,Auvernier - Les Verrieres frontiere,8504213,ch:1:sloid:4213
900,Sargans Ost - Chur West (Gleisende),8509004,ch:1:sloid:9004
251,Palezieux Est - Lyss Nord,8504403,ch:1:sloid:4403
300,Spiez - Kandersteg - Brig,8515310,ch:1:sloid:15310
751,ZH Langstr. - Wallisellen - Winterthur,8508299,ch:1:sloid:8299
109,Simplon Tunnel II,8501610,ch:1:sloid:1610
9499,Dreispitz Nord - Basel SBB Tiefbf Ost,8510694,ch:1:sloid:10694
9783,Bruttenertunnel Sud,8508328,ch:1:sloid:8328
513,Basel SBB GB Verbindungslinie,8500040,ch:1:sloid:40
511,Basel SBB - Basel GB - Basel RB,8505032,ch:1:sloid:5032
521,Umfahrung Sud: Basel SBB RB I - Muttenz,8505032,ch:1:sloid:5032
9509,Hagnau - Hagnau Ost,8505032,ch:1:sloid:5032
9527,Hagnau - Basel Werkstatte Hardacker,8505032,ch:1:sloid:5032
9496,Basel Klybeck (Spw) - Basel Mitte,8510699,ch:1:sloid:10699
9498,Basel Rankhof - Basel Gundeli Ost,8510700,ch:1:sloid:10700
521,Umfahrung Sud: Basel SBB RB I - Muttenz,8500044,ch:1:sloid:44
