line_id,line_name,line_length,line_station_abbrs,line_station_didoks
100,Lausanne - Simplon Tunnel I - Iselle,3684.602,"BALT,BURI,CHF,CL,GA,GRIL,MA,MX,PDS,RAR,SAL,SAX,SM,TUR,VERX,EV,GRAL,LSE,LTY,RAN,SIET,ST,VERN,VIL,GAMS,LK,PU,SIO,SL,STDG,CHA,CHAR,CRTT,CU,ARD,BRLO,BRTU,BEX,BR,LKK,PRAM,RIV,ROC,SIE,STSA,TAPI,TER,TOUR,VI,VVO,AIG,EPS,LS,LSPA,RID,VEY,VTE,VV","15515,1202,1510,1203,1603,19694,1500,1300,1440,1604,1600,1502,1403,1602,19695,1404,1508,15338,1122,19698,16882,1401,1405,1303,1606,1601,1121,1506,1507,1642,1504,1501,19440,1124,1505,15310,1610,1402,1609,18337,19697,1126,1304,1509,1127,19693,1301,1201,1605,15369,1400,1125,1120,19447,1503,1302,1123,1200"
107,Brig-Lotschberg (Abzw) Brig Tunnel,438.93137,"BRRB,BRLO,BRTU","1641,15310,1610"
109,Simplon Tunnel II,303.15063,"BRTU,STDG","1610,1642"
111,Vevey Ouest - Puidoux-Chexbres,23.89781,"CHX,VVFU,PUI,CORS,LVE,VVO","4013,4015,4012,4040,4009,15369"
112,Vevey - Blonay,0.0,VV,1200
123,Aigle - Le Sepey,0.0,AIG,1400
125,Aigle - Aigle-Depot,0.0,AIG,1400
127,Bex - Villars,0.0,BEX,1402
129,Aigle - Ollon - Monthey-Ville,0.0,AIG,1400
131,Les Paluds - St-Gingolph (Frontiere),152.31166,"AGIP,BOU,GIOV,STGI,LOSI,MAS,MTH,VIO,VOU,CABV,CBY,MTHI,EVOU,PDS","1435,1426,1437,1428,1438,1420,1421,1423,1424,1436,1422,2079,1425,1440"
132,Martigny - Le Chatelard-Frontiere,0.0,MA,1500
133,Martigny - Orsieres,0.01728,MA,1500
149,Gland Ballastiere,68.85025,"GLAO,GBAL","19355,19356"
150,Lausanne - Geneve-Aeroport,1811.4559,"ARCY,CRA,ETOY,GE,GLA,LS,LSBI,MOR,PRNY,REN,RENB,RENO,TAN,TOL,GEPO,GEVO,LONB,MEY,PER,TUI,FOU,GDBE,GEAP,LON,LONA,MIES,NYB,PTC,STP,TUIS,CHNB,CHNE,CHY,CRGD,DENA,ALL,DENB,CEL,GIBU,MUR,NY,STJ,VSX,COP,DEN,GEAF,GESE,GLAO,PRMA,PRN,ROL,SJ,VEN","1147,1017,1042,1008,1031,1120,1139,1037,10681,1118,15354,15355,1015,1046,1038,19692,15337,15561,1034,1011,1016,1021,1026,1048,15336,1014,15645,1013,1036,15367,10684,1027,1020,1012,15322,1035,15323,1024,1032,1029,1030,1047,1022,1023,1045,15329,16283,19355,18452,1040,1033,1039,1018"
151,Geneve St-Jean - La Plaine-Frontiere,738.20416,"COI,SJ,VM,VMC,LP,MANM,CHNE,ZIM,FUBI,RUS,SY","1007,1039,1006,15778,1001,7549,1027,1000,1028,1002,1003"
152,St-Jean - Geneve-Eaux-Vives - Annemasse,858.3443,"CHEB,CHHO,GEPB,GEST,SJ,LABA,FOTN,GEPR,JON,CABS,CABA,GEV,LAPR","16274,16272,17141,16174,1039,16281,2622,1009,1041,18336,17142,16273,16155"
153,St-Jean - Geneve-La Praille,132.30899,"CABS,GEPF","18336,15330"
154,Furet - Jonction,0.9406,"FUBI,JON","1028,1041"
155,Nyon - St-Cergue - La Cure,0.0,NY,1030
156,Morges - Biere,0.0,MOR,1037
158,Geneve Poste 1 - Geneve FB - Geneve,179.23596,"GEPO,GE,GEFB","1038,1008,1010"
159,Nyon - Eysins,2.93749,"NYB,EYSI","15645,16946"
160,Renens VD Ouest - Lausanne-Triage sect.,58.25056,"LTC,LTE,LTB,LTP,LTSE,LTO,RENO","15340,15639,15339,15640,15342,18430,15355"
161,Lausanne-Triage F - Lonay A (bif),29.09,"LONA,LTO,LTF","15336,18430,1150"
162,Lausanne-Triage P1 - Lonay B,19.114891,"LONB,LTP","15337,15640"
163,Lausanne-Triage D - Denges B,15.74851,"DENB,LTD","15323,15341"
164,Lecheires - Denges A,15.62742,"DENA,LECR","15322,1148"
165,Lausanne-Triage Est - Bussigny-Scheu.,27.896091,"BYSC,LTE","15313,15639"
166,Renens VD Ouest - Lausanne-Triage Est,18.34538,"ARCA,LTE,RENO","15301,15639,15355"
